ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
5015,C,Ship,6,2,254,4,low,M,4,1392
8289,A,Ship,5,4,145,3,low,M,2,4492
7488,F,Ship,5,1,242,5,medium,M,8,1382
9363,A,Ship,6,1,264,4,low,M,9,1243
1023,A,Ship,3,4,260,3,low,F,21,2003
2737,D,Flight,3,3,191,4,medium,F,17,3675
10674,F,Road,4,2,223,5,medium,M,3,1395
7489,D,Ship,5,5,250,4,medium,F,8,1247
9967,D,Ship,6,5,310,4,medium,F,10,1553
3040,B,Ship,4,4,177,3,medium,M,23,1142
10791,A,Ship,4,4,224,5,medium,F,5,1184
6332,F,Ship,3,4,239,4,medium,F,8,4537
7568,F,Ship,3,1,251,2,low,F,7,5368
5373,A,Ship,3,1,183,2,medium,F,3,4042
3031,D,Flight,3,4,209,3,high,F,37,3650
282,F,Flight,5,4,147,3,medium,M,23,1132
10016,F,Flight,3,4,245,2,medium,F,1,4427
8573,C,Ship,4,4,234,2,medium,F,8,5744
8223,A,Flight,4,2,203,4,medium,F,9,4217
5109,A,Ship,4,3,136,3,medium,M,10,4299
6981,A,Road,4,1,205,5,low,M,10,4944
4784,F,Road,3,1,221,2,low,F,7,5320
776,F,Ship,3,1,270,3,medium,F,61,3582
9864,F,Flight,5,2,211,3,medium,F,8,4962
6797,C,Ship,4,1,186,2,low,M,4,4686
6067,D,Ship,5,1,267,4,low,M,5,4440
100,B,Ship,4,2,145,2,medium,M,21,1617
8830,B,Ship,4,4,261,5,medium,F,2,1690
2336,F,Flight,5,5,273,3,medium,F,18,2415
7739,C,Ship,6,1,244,4,low,F,7,1007
2276,F,Ship,3,1,155,3,low,M,49,1203
7588,B,Ship,4,1,201,6,medium,F,8,5529
9636,F,Ship,7,3,256,4,medium,M,4,1628
4120,B,Flight,5,2,227,3,medium,M,2,4058
9315,A,Flight,3,1,230,2,low,F,4,4387
4522,B,Flight,3,3,260,4,low,M,8,5595
8071,D,Road,6,3,217,6,medium,M,3,4209
1056,F,Ship,3,3,152,3,medium,M,5,1385
6401,C,Ship,5,5,249,3,low,M,1,4274
934,B,Road,4,4,206,3,medium,F,33,2804
4334,F,Ship,5,4,255,6,low,M,3,4638
2001,A,Ship,4,3,135,3,medium,F,11,1322
8822,F,Ship,6,1,260,4,low,F,6,1766
9743,C,Flight,3,3,154,2,low,M,1,5884
8357,C,Flight,5,4,245,5,medium,F,4,1771
2798,F,Ship,3,1,225,2,high,F,43,2585
3880,B,Ship,5,2,175,3,low,M,1,4019
10887,A,Ship,4,2,226,2,low,F,2,4332
168,F,Ship,4,5,152,3,low,M,43,1709
8873,C,Ship,5,3,237,5,medium,F,4,1567
7780,B,Ship,3,1,253,3,high,M,8,5030
137,C,Flight,3,3,189,4,medium,F,51,2208
1857,A,Ship,4,1,190,10,low,F,35,3819
8666,F,Ship,4,4,201,3,low,F,2,5385
4612,B,Ship,3,4,219,2,medium,M,7,4883
5775,A,Ship,4,2,243,5,medium,F,4,1633
10727,C,Ship,5,1,219,5,low,M,8,1419
9709,D,Road,7,5,244,4,low,M,2,1330
6956,F,Ship,5,2,257,3,low,F,2,4677
6020,F,Road,6,5,282,4,medium,M,3,1385
5289,A,Ship,2,3,110,5,low,M,3,4124
5864,F,Ship,5,3,121,2,medium,F,4,5231
10234,B,Ship,5,1,158,2,medium,M,6,4873
2779,D,Ship,5,3,225,7,medium,F,17,3516
1739,C,Ship,4,5,208,2,medium,M,33,2170
6372,F,Ship,3,3,249,2,medium,M,9,4034
9760,B,Ship,4,5,135,3,low,F,6,4557
8648,F,Flight,6,1,285,4,low,F,3,1448
10137,A,Flight,3,4,174,3,low,F,3,5366
3158,F,Flight,4,2,246,3,low,F,7,5616
4391,C,Flight,3,3,175,2,medium,M,2,4814
5976,F,Ship,4,1,212,2,medium,M,4,4969
8892,F,Road,5,3,240,5,low,M,4,1389
4630,B,Ship,5,5,167,2,medium,M,2,5908
8340,F,Road,5,1,291,4,low,F,3,1663
8827,D,Ship,5,3,267,6,low,F,8,1421
3661,D,Ship,5,3,249,2,medium,M,3,4440
9449,C,Flight,4,2,223,6,low,F,10,1650
4434,F,Ship,4,5,163,3,high,M,4,5863
10933,D,Ship,4,2,261,5,low,F,8,1235
5805,A,Ship,4,3,136,3,low,F,7,5976
10005,A,Flight,4,1,204,3,medium,M,3,4310
6095,C,Ship,4,4,215,2,high,F,6,5238
9022,B,Road,3,4,228,4,medium,M,6,4947
285,A,Flight,5,5,230,3,low,F,32,3249
5656,B,Ship,4,4,198,2,medium,M,2,5725
4851,A,Ship,5,3,150,3,low,M,10,4799
1330,B,Ship,3,1,184,3,medium,F,49,2823
1905,A,Road,4,5,277,5,medium,F,32,1055
8252,F,Ship,5,3,226,2,high,F,6,5033
7741,D,Ship,6,1,254,4,low,F,2,1071
1595,C,Ship,3,2,148,4,medium,F,38,1322
9633,A,Ship,5,1,172,2,low,F,9,1723
1609,D,Ship,3,1,227,3,medium,M,52,3336
1544,F,Ship,3,4,212,2,medium,F,56,3976
3968,F,Road,3,1,135,2,low,M,7,5682
8644,B,Flight,6,4,303,5,low,M,5,1195
2464,B,Flight,5,5,216,6,low,M,54,2075
3160,B,Flight,3,1,162,8,high,F,10,5429
873,A,Ship,3,1,178,5,low,F,15,1242
6055,D,Ship,4,4,202,3,low,F,3,5524
1658,F,Flight,4,5,236,7,medium,F,44,3808
99,A,Ship,3,5,144,4,medium,M,5,1104
8737,D,Ship,4,4,229,2,low,F,9,5672
4810,B,Flight,2,5,198,2,medium,M,4,1913
4003,D,Ship,4,1,202,3,low,M,4,4029
9055,D,Flight,5,5,169,3,medium,M,2,5942
10856,F,Ship,3,3,198,2,low,M,7,4996
8851,D,Ship,4,4,266,7,medium,M,3,5672
875,C,Ship,2,4,206,2,low,F,30,3955
7861,D,Ship,4,2,139,3,medium,M,10,4648
6270,F,Ship,7,4,302,5,medium,M,7,1503
9613,D,Ship,5,3,170,3,medium,F,4,4446
1581,A,Ship,3,5,270,5,low,M,31,3737
495,A,Ship,5,1,160,5,medium,F,16,1526
2307,A,Road,3,5,209,2,low,M,33,2603
2057,C,Flight,3,4,196,3,low,M,47,2447
2309,C,Road,3,2,268,3,low,M,30,2867
6939,A,Ship,5,4,271,3,low,M,3,5218
8390,F,Ship,3,1,226,2,low,M,7,4703
1743,A,Ship,4,4,192,3,low,F,25,2443
2914,B,Ship,6,1,250,5,low,F,53,3352
4381,D,Flight,5,1,255,4,medium,M,9,4881
10612,B,Ship,5,3,262,5,low,M,7,4157
390,F,Road,4,2,167,4,low,F,20,1705
5079,A,Flight,4,3,181,3,medium,M,10,4541
4623,A,Ship,4,1,223,3,low,F,9,4832
9425,C,Ship,7,5,256,4,medium,M,4,1139
6398,F,Ship,4,3,250,3,high,F,4,5272
5542,B,Ship,4,4,260,2,low,M,3,5801
6343,D,Ship,3,1,286,4,medium,M,4,5106
2135,C,Ship,4,1,202,2,low,M,40,2327
7565,C,Ship,3,4,184,3,low,M,7,5438
2998,B,Road,4,2,185,4,medium,F,36,2583
6494,F,Ship,7,3,133,5,low,F,4,1783
7530,F,Road,5,2,204,5,low,M,3,5723
3405,A,Road,5,5,232,4,low,M,3,5447
